customer_id,first_name,last_name,email,phone,registration_date,last_activity_date,segment,total_purchases,total_spent,average_order_value,acquisition_channel,is_active,address,preferences
1,Tammy,Acosta,alexander88@example.org,001-820-836-8721x890,2024-06-07,2024-07-12,New,5,409.37,81.84,Social Media,True,"{'street': '7716 Hill Manors', 'city': 'Johnsonhaven', 'state': 'NJ', 'zip': '92698', 'country': 'USA'}","{'preferred_categories': ['Clothing', 'Furniture', 'Electronics'], 'communication_preferences': ['Phone', 'SMS', 'Email'], 'favorite_products': [78, 60]}"
2,Brian,White,kevinsantiago@example.com,+1-531-855-3241x8975,2022-06-04,2022-07-06,New,29,434.42,23.94,Web Search,True,"{'street': '19019 Davis Streets', 'city': 'Lake Christineview', 'state': 'DE', 'zip': '96043', 'country': 'USA'}","{'preferred_categories': ['Appliances', 'Furniture'], 'communication_preferences': ['Email', 'SMS', 'Mail'], 'favorite_products': [59, 2, 6, 13]}"
3,Kimberly,Caldwell,tayala@example.net,001-903-693-1531x314,2021-11-05,2024-02-28,Regular,38,7266.41,1444.96,Direct,True,"{'street': '252 Stephanie Cape Apt. 414', 'city': 'Coreyfort', 'state': 'NH', 'zip': '63870', 'country': 'USA'}","{'preferred_categories': ['Clothing'], 'communication_preferences': ['SMS'], 'favorite_products': [45]}"
4,Michelle,Wise,aaronoliver@example.com,(409)720-1489x196,2022-10-09,2024-09-11,New,30,12864.93,2483.83,Advertisement,True,"{'street': '715 Christopher Curve', 'city': 'Ricardoberg', 'state': 'TN', 'zip': '26633', 'country': 'USA'}","{'preferred_categories': ['Appliances'], 'communication_preferences': ['SMS', 'Phone'], 'favorite_products': []}"
5,Mary,Macias,raybrianna@example.net,(665)399-3991,2023-04-25,2023-10-19,New,5,1763.54,136.71,Advertisement,True,"{'street': '9103 Evan Gateway', 'city': 'Morganside', 'state': 'IA', 'zip': '34424', 'country': 'USA'}","{'preferred_categories': ['Clothing'], 'communication_preferences': ['SMS', 'Email', 'Mail'], 'favorite_products': []}"
6,Jason,Rodriguez,smithdavid@example.net,539.544.4092x4845,2021-02-21,2022-02-23,Regular,30,3734.5,116.0,Partner,True,"{'street': '880 Dickerson Stravenue Suite 289', 'city': 'Maxwellmouth', 'state': 'PR', 'zip': '19785', 'country': 'USA'}","{'preferred_categories': ['Appliances', 'Furniture', 'Electronics'], 'communication_preferences': ['Mail', 'Phone', 'Email'], 'favorite_products': [90, 5, 51, 33, 92]}"
7,Linda,Taylor,skinnerjoshua@example.com,663-743-8820x0551,2023-09-21,2024-05-12,Regular,15,4132.17,320.16,Advertisement,True,"{'street': '1614 Micheal Drive', 'city': 'Alexandrafurt', 'state': 'ME', 'zip': '83053', 'country': 'USA'}","{'preferred_categories': ['Appliances', 'Clothing'], 'communication_preferences': ['SMS'], 'favorite_products': [51, 67, 83, 64]}"
8,Shane,Smith,christinedavis@example.com,461.219.7192x2170,2021-02-20,2025-04-20,Regular,10,21479.62,4156.13,Social Media,True,"{'street': '327 Matthews Brook Apt. 334', 'city': 'Johnsonshire', 'state': 'IN', 'zip': '05420', 'country': 'USA'}","{'preferred_categories': ['Clothing', 'Appliances', 'Furniture'], 'communication_preferences': ['Mail'], 'favorite_products': [17]}"
9,Becky,Hernandez,acostacassie@example.net,735.947.3347,2022-04-19,2023-05-29,New,24,1386.04,84.68,Direct,True,"{'street': '037 Burns Trace', 'city': 'New Jessicafurt', 'state': 'NY', 'zip': '93642', 'country': 'USA'}","{'preferred_categories': ['Furniture', 'Electronics'], 'communication_preferences': ['Phone'], 'favorite_products': []}"
10,Megan,Moses,james08@example.net,(903)510-9504x732,2022-03-02,2024-09-15,Premium,6,8255.15,855.75,Partner,True,"{'street': '2334 Amanda Island Apt. 451', 'city': 'New Janet', 'state': 'NM', 'zip': '60882', 'country': 'USA'}","{'preferred_categories': ['Clothing', 'Appliances'], 'communication_preferences': ['Mail', 'Email', 'SMS'], 'favorite_products': [17, 13]}"
11,Tara,Hunt,daniellecortez@example.net,370.222.9471x765,2023-02-09,2023-11-06,New,4,6050.11,398.16,Social Media,True,"{'street': '880 Louis Curve Apt. 108', 'city': 'East Charles', 'state': 'MS', 'zip': '88981', 'country': 'USA'}","{'preferred_categories': ['Electronics'], 'communication_preferences': ['Mail', 'SMS', 'Phone'], 'favorite_products': [83, 2, 28]}"
12,James,Franklin,jenniferdixon@example.net,420-600-2086,2021-06-22,2023-07-29,Regular,12,11172.42,317.61,Partner,True,"{'street': '55779 Smith Stream Suite 953', 'city': 'Cooperfort', 'state': 'PW', 'zip': '61880', 'country': 'USA'}","{'preferred_categories': ['Clothing'], 'communication_preferences': ['Mail'], 'favorite_products': [80, 66, 15]}"
13,Jay,Rivera,warrenrebecca@example.org,875.829.4789x814,2022-02-17,2022-11-19,Premium,31,12186.91,826.29,Advertisement,True,"{'street': '3907 Cole Gardens', 'city': 'South Christinehaven', 'state': 'ID', 'zip': '37836', 'country': 'USA'}","{'preferred_categories': ['Clothing', 'Furniture', 'Appliances'], 'communication_preferences': ['Email', 'SMS'], 'favorite_products': [27, 87, 61, 78, 43]}"
14,Patricia,Shaffer,singhjennifer@example.com,+1-686-295-3917x76284,2020-10-27,2022-12-02,Regular,51,16020.13,1392.53,Advertisement,True,"{'street': '13809 Francis Expressway Suite 501', 'city': 'North Karaton', 'state': 'TN', 'zip': '59219', 'country': 'USA'}","{'preferred_categories': ['Electronics'], 'communication_preferences': ['Phone', 'SMS'], 'favorite_products': []}"
15,Stacie,Robinson,smithmary@example.com,+1-487-654-5604x09532,2022-09-24,2024-12-07,Premium,24,10426.96,337.13,Web Search,True,"{'street': '8335 Singh Brook Apt. 500', 'city': 'Christineborough', 'state': 'KS', 'zip': '45312', 'country': 'USA'}","{'preferred_categories': ['Appliances', 'Electronics'], 'communication_preferences': ['Email'], 'favorite_products': [92, 60]}"
