id,first_name,last_name,email,phone_number,hire_date,job_title,department,salary,manager_id,address,skills
1,Mark,Jackson,hannahdodson@example.org,9694938914,2015-08-12,HR Coordinator,HR,94789,,"{'street': '621 Daniel Groves', 'city': 'West Felicia', 'state': 'RI', 'zip': '17502', 'country': 'USA'}","['Kubernetes', 'Tableau']"
2,Derek,Vazquez,james43@example.org,299-614-6976x13701,2017-11-09,Security Specialist,IT,106663,,"{'street': '36726 Johnston Court', 'city': 'Hernandezville', 'state': 'MO', 'zip': '70693', 'country': 'USA'}","['Azure', 'Spark', 'Scala', 'Java']"
3,Kaitlin,Walker,arnoldchristopher@example.org,(934)412-9580,2019-04-14,IT Manager,IT,112440,,"{'street': '49846 Jorge Via Apt. 137', 'city': 'Longfort', 'state': 'TN', 'zip': '23055', 'country': 'USA'}","['PowerBI', 'Azure', 'Hadoop', 'Java', 'Docker']"
4,Bryce,Barber,ryanneal@example.com,521.734.2896x9626,2020-08-14,HR Manager,HR,72599,,"{'street': '03806 Katherine Common Suite 775', 'city': 'Lake Jamesport', 'state': 'WV', 'zip': '00788', 'country': 'USA'}","['AWS', 'GCP']"
5,Julie,Whitaker,westkari@example.org,001-517-679-9042x5214,2017-12-09,Support Agent,Customer Support,72290,,"{'street': '8041 Strong Flat', 'city': 'Rodriguezland', 'state': 'CA', 'zip': '97062', 'country': 'USA'}","['Hadoop', 'Kubernetes']"
6,Eric,Boyd,aaronhendrix@example.com,001-700-372-3352x33676,2021-02-13,Sales Analyst,Sales,90221,,"{'street': '06924 Peters Estates Suite 601', 'city': 'Randyshire', 'state': 'MO', 'zip': '88569', 'country': 'USA'}","['Tableau', 'R', 'Azure', 'Spark', 'Docker']"
7,Ashley,Smith,washingtonjessica@example.com,9202093113,2022-07-07,Financial Analyst,Finance,92548,,"{'street': '807 Martin Heights Apt. 233', 'city': 'Priscillatown', 'state': 'ME', 'zip': '75580', 'country': 'USA'}","['Docker', 'Hadoop', 'SQL']"
8,Jessica,Johnson,peggy70@example.net,212.827.9355,2017-03-14,SEO Specialist,Marketing,99821,,"{'street': '79525 Moreno Tunnel Apt. 816', 'city': 'Johnsonshire', 'state': 'NM', 'zip': '58872', 'country': 'USA'}","['Azure', 'Scala', 'Tableau']"
9,Elizabeth,Meyers,vazquezsteven@example.org,(304)669-4557,2015-08-18,Business Analyst,Operations,85380,,"{'street': '226 White Manors Apt. 244', 'city': 'Port Sara', 'state': 'KY', 'zip': '25495', 'country': 'USA'}","['Python', 'Excel', 'PowerBI']"
10,Laura,Thomas,geoffrey03@example.org,001-993-298-6250x1097,2017-07-19,SEO Specialist,Marketing,92294,,"{'street': '5764 Eric River', 'city': 'Foxfort', 'state': 'VT', 'zip': '18852', 'country': 'USA'}","['Azure', 'Python']"
11,Matthew,Pierce,kaylaestrada@example.net,001-475-580-8140,2021-09-22,Financial Analyst,Finance,89156,,"{'street': '28421 Suzanne Street Apt. 410', 'city': 'Thompsonshire', 'state': 'MO', 'zip': '21756', 'country': 'USA'}","['R', 'Docker']"
12,Lucas,Brown,pwhitney@example.net,001-696-717-2076x40440,2021-05-11,Operations Analyst,Operations,82339,,"{'street': '407 Jay Ville Suite 913', 'city': 'Davidchester', 'state': 'MP', 'zip': '65643', 'country': 'USA'}","['AWS', 'Tableau', 'SQL', 'R']"
13,Fred,Lindsey,smithalicia@example.org,001-950-522-7894,2023-11-05,Software Engineer,Engineering,97876,,"{'street': '877 Valerie Trafficway', 'city': 'Lake Kristen', 'state': 'RI', 'zip': '79300', 'country': 'USA'}","['Scala', 'Java', 'Azure']"
14,Johnathan,Boyd,joshuapadilla@example.net,6038705261,2023-08-20,Project Manager,Operations,79039,,"{'street': '2812 Dawson Curve', 'city': 'Davidshire', 'state': 'MH', 'zip': '19268', 'country': 'USA'}","['Excel', 'R', 'Kubernetes', 'Python', 'Java']"
15,Jason,Flores,hartmananthony@example.com,864-507-5495,2015-12-11,IT Support,IT,122421,,"{'street': '3753 Allison Island Suite 418', 'city': 'New William', 'state': 'ND', 'zip': '42386', 'country': 'USA'}","['Hadoop', 'SQL', 'GCP', 'Java']"
16,Robert,Bell,lawrencemontgomery@example.net,(302)614-3252x31869,2020-10-23,Marketing Manager,Marketing,84168,,"{'street': '589 Williams Drives Apt. 877', 'city': 'East Andrea', 'state': 'TN', 'zip': '36862', 'country': 'USA'}","['GCP', 'PowerBI', 'Excel', 'Docker', 'Kubernetes']"
17,David,Deleon,williamvalenzuela@example.net,5202627928,2023-03-09,Operations Manager,Operations,81164,,"{'street': '434 Watson Pass Apt. 353', 'city': 'Johnsonburgh', 'state': 'FM', 'zip': '94305', 'country': 'USA'}","['AWS', 'Java']"
